date,factor,ic,rank_ic
2021-01-04,ret_1,,
2021-01-04,ret_3,,
2021-01-04,ret_5,,
2021-01-04,ret_10,,
2021-01-04,ret_20,,
2021-01-04,ret_60,,
2021-01-04,ret_120,,
2021-01-04,volatility_5,,
2021-01-04,volatility_10,,
2021-01-04,volatility_20,,
2021-01-04,volatility_60,,
2021-01-04,amplitude_5,,
2021-01-04,amplitude_10,,
2021-01-04,amplitude_20,,
2021-01-04,volume_mean_5,,
2021-01-04,volume_mean_20,,
2021-01-04,volume_mean_60,,
2021-01-04,amount_mean_5,,
2021-01-04,amount_mean_20,,
2021-01-04,amount_mean_60,,
2021-01-04,turnover_mean_5,,
2021-01-04,turnover_mean_20,,
2021-01-04,turnover_mean_60,,
2021-01-04,corr_ret_volume_10,,
2021-01-04,corr_ret_volume_20,,
2021-01-04,corr_close_volume_20,,
2021-01-04,corr_ret_amount_20,,
2021-01-04,volume_chg_5_20,,
2021-01-04,amount_chg_5_20,,
2021-01-04,turnover_chg_5_20,,
2021-01-04,close_to_high_20,,
2021-01-04,close_to_low_20,,
2021-01-04,close_position_20,,
2021-01-04,close_position_60,,
2021-01-04,ret_20_div_vol_20,,
2021-01-04,ret_60_div_vol_60,,
2021-01-05,ret_1,0.20244131569975352,0.06390447240442558
2021-01-05,ret_3,,
2021-01-05,ret_5,,
2021-01-05,ret_10,,
2021-01-05,ret_20,,
2021-01-05,ret_60,,
2021-01-05,ret_120,,
2021-01-05,volatility_5,,
2021-01-05,volatility_10,,
2021-01-05,volatility_20,,
2021-01-05,volatility_60,,
2021-01-05,amplitude_5,,
2021-01-05,amplitude_10,,
2021-01-05,amplitude_20,,
2021-01-05,volume_mean_5,,
2021-01-05,volume_mean_20,,
2021-01-05,volume_mean_60,,
2021-01-05,amount_mean_5,,
2021-01-05,amount_mean_20,,
2021-01-05,amount_mean_60,,
2021-01-05,turnover_mean_5,,
2021-01-05,turnover_mean_20,,
2021-01-05,turnover_mean_60,,
2021-01-05,corr_ret_volume_10,,
2021-01-05,corr_ret_volume_20,,
2021-01-05,corr_close_volume_20,,
2021-01-05,corr_ret_amount_20,,
2021-01-05,volume_chg_5_20,,
2021-01-05,amount_chg_5_20,,
2021-01-05,turnover_chg_5_20,,
2021-01-05,close_to_high_20,,
2021-01-05,close_to_low_20,,
2021-01-05,close_position_20,,
2021-01-05,close_position_60,,
2021-01-05,ret_20_div_vol_20,,
2021-01-05,ret_60_div_vol_60,,
2021-01-06,ret_1,0.2147963895478265,0.19527679241372425
2021-01-06,ret_3,,
2021-01-06,ret_5,,
