date,group,forward_return
2021-01-15,1,-0.018507038567187852
2021-01-15,2,0.0015883267402782536
2021-01-15,3,0.005501876574494279
2021-01-15,4,0.039070465046821996
2021-01-15,5,0.06764922165090685
2021-01-18,1,-0.02315132668624077
2021-01-18,2,-0.008922323828199942
2021-01-18,3,-0.011071682906365942
2021-01-18,4,0.015031392238466425
2021-01-18,5,0.01850063118839891
2021-01-19,1,-0.0231422218607094
2021-01-19,2,-0.012764592636300727
2021-01-19,3,-0.01752954511097143
2021-01-19,4,0.002527708112187166
2021-01-19,5,0.03401349954925773
2021-01-20,1,-0.019365494251116614
2021-01-20,2,-0.012269070878423298
2021-01-20,3,-0.03453531286435949
2021-01-20,4,-0.021611096413604883
2021-01-20,5,-0.006704956562002352
2021-01-21,1,-0.01860221868909435
2021-01-21,2,-0.02454748130148983
2021-01-21,3,-0.043818068018673904
2021-01-21,4,-0.036546694260314455
2021-01-21,5,-0.035397831406776596
2021-01-22,1,-0.010788944260815909
2021-01-22,2,-0.019059127766974927
2021-01-22,3,-0.045924254496733145
2021-01-22,4,-0.04633589484690714
2021-01-22,5,-0.07999865364174108
2021-01-25,1,-0.0026932707122102897
2021-01-25,2,-0.018210139036126467
2021-01-25,3,-0.031183286963627786
2021-01-25,4,-0.041326705091090384
2021-01-25,5,-0.058093010296801924
2021-01-26,1,-0.002681513244338781
2021-01-26,2,-0.016239651782740373
2021-01-26,3,0.00279724299589362
2021-01-26,4,-0.021525337731402517
2021-01-26,5,-0.032519172204740446
2021-01-27,1,-0.005449194780088347
2021-01-27,2,-0.018445127310279117
2021-01-27,3,0.015659063877266215
2021-01-27,4,-0.02799794528132794
2021-01-27,5,-0.04093049639831447
2021-01-28,1,-0.004624859608692048
2021-01-28,2,-0.017573406819716187
2021-01-28,3,0.01943524553922589
2021-01-28,4,-0.02558520209822263
2021-01-28,5,-0.03575230015004473
2021-01-29,1,0.00578589592473485
2021-01-29,2,0.005083557305574836
2021-01-29,3,0.03891047880559697
2021-01-29,4,-0.015948042750384826
2021-01-29,5,-0.030417832544084433
2021-02-01,1,-0.001862328843139369
2021-02-01,2,0.0073372131810385734
2021-02-01,3,0.03738416174220149
2021-02-01,4,0.00338655700060478
2021-02-01,5,-0.019630587200512292
2021-02-02,1,0.009942432751868013
2021-02-02,2,0.02643647963517765
2021-02-02,3,0.028890680028067658
2021-02-02,4,0.021743758234027383
2021-02-02,5,0.013764763424790797
2021-02-03,1,0.04010293150722776
2021-02-03,2,0.03989063742326857
2021-02-03,3,0.07091445527353481
2021-02-03,4,0.07874800736532785
2021-02-03,5,0.07152355435718843
2021-02-04,1,0.028658091839658395
2021-02-04,2,0.05345691403507949
2021-02-04,3,0.06576076844968481
2021-02-04,4,0.055473942207209505
2021-02-04,5,0.0486395491648377
2021-02-05,1,0.04130461894372154
2021-02-05,2,0.06502689467919648
2021-02-05,3,0.0686280815726799
2021-02-05,4,0.07783845343564327
2021-02-05,5,0.09655122725759065
2021-02-08,1,0.04074438702985299
2021-02-08,2,0.05211204226823799
2021-02-08,3,0.007317728009291804
2021-02-08,4,0.018455871280374677
2021-02-08,5,0.04682523063291071
2021-02-09,1,0.03144900795981198
2021-02-09,2,0.03905503043183401
2021-02-09,3,0.01579325440830648
2021-02-09,4,0.007289525122337808
2021-02-09,5,0.0025170585808141324
2021-02-10,1,0.00606896261240867
2021-02-10,2,0.007427067666508236
2021-02-10,3,-0.02467036963303262
2021-02-10,4,-0.03852660166667631
2021-02-10,5,-0.033573562984613683
2021-02-18,1,0.009832317069726653
2021-02-18,2,-0.0008011547424919654
2021-02-18,3,-0.04343518074173823
2021-02-18,4,-0.039999325618058926
2021-02-18,5,-0.0522977283189128
2021-02-19,1,-0.007264484385773019
2021-02-19,2,-0.037477582495656456
2021-02-19,3,-0.04453250224046981
2021-02-19,4,-0.050696266133478184
2021-02-19,5,-0.044684132545793766
2021-02-22,1,-0.006352694491957493
2021-02-22,2,-0.014672762957058848
2021-02-22,3,-0.012939962338227426
2021-02-22,4,-0.010383724523842303
2021-02-22,5,0.02754045944292691
2021-02-23,1,-0.018430747019741227
2021-02-23,2,-0.02306226396444676
2021-02-23,3,-0.03831404849204851
2021-02-23,4,-0.03876158708244504
2021-02-23,5,-0.009981713367443199
2021-02-24,1,4.709866927488093e-05
2021-02-24,2,-0.004421264747615681
2021-02-24,3,-0.007996096082721204
2021-02-24,4,-0.022091675506689994
2021-02-24,5,-0.00481907773836041
2021-02-25,1,0.0027826269796054127
2021-02-25,2,-0.005800421146767955
2021-02-25,3,-0.015472708006042566
2021-02-25,4,-0.03563013850896494
2021-02-25,5,-0.01740456138913
2021-02-26,1,0.014444221529696372
